counter,WellID,meanError,minError,maxError,#samples,delta
200,1687,3.5146,0.3737,8.3479,14,0.2510428571
220,569,3.7751,0.7423,5.7931,15,0.2516733333
308,996,4.7898,1.745,8.3031,19,0.2520947368
222,1905,3.7912,0.4927,15.1703,15,0.2527466667
204,1856,3.5396,0.5348,6.8982,14,0.2528285714
312,1421,4.8091,0.3827,15.1177,19,0.2531105263
319,909,4.8961,2.3902,7.111,19,0.2576894737
271,2441,4.387,0.48,8.6589,17,0.2580588235
207,1798,3.6135,1.481,4.604,14,0.2581071429
244,869,4.1418,1.0858,6.9431,16,0.2588625
320,2137,4.9326,0.206,13.6867,19,0.2596105263
227,2676,3.8944,0.7712,8.1156,15,0.2596266667
152,504,3.1213,0.0561,12.9371,12,0.2601083333
274,1933,4.4291,2.764,5.9465,17,0.2605352941
299,2164,4.6968,2.2431,7.0897,18,0.2609333333
379,1283,5.5034,0.5315,9.4147,21,0.2620666667
277,2192,4.4578,2.1268,7.0037,17,0.2622235294
353,1536,5.2565,0.0077,10.4576,20,0.262825
252,1727,4.214,0.5766,9.503,16,0.263375
279,44,4.4796,0.6263,20.9599,17,0.2635058824
182,1968,3.4265,0.0688,6.7936,13,0.2635769231
307,1913,4.7885,3.5909,6.3492,18,0.2660277778
427,2731,6.13,0.0447,20.1387,23,0.2665217391
193,2616,3.4659,0.4191,10.2811,13,0.2666076923
194,1812,3.4696,1.2443,8.7839,13,0.2668923077
259,1199,4.2818,0.4209,11.6896,16,0.2676125
216,910,3.7477,0.0825,8.9394,14,0.2676928571
364,70,5.3687,0.7294,14.7748,20,0.268435
260,2202,4.295,2.0522,6.6685,16,0.2684375
340,1643,5.1266,1.9033,8.5948,19,0.2698210526
292,129,4.6036,0.2547,14.1712,17,0.2708
202,2474,3.5317,0.2272,13.0977,13,0.2716692308
265,99,4.3605,1.8632,8.233,16,0.27253125
138,1680,3.0065,0.0067,6.553,11,0.2733181818
348,2699,5.2111,0.051,12.9301,19,0.2742684211
169,655,3.2956,0.519,6.5563,12,0.2746333333
224,1736,3.8675,0.1377,8.5243,14,0.27625
142,152,3.0443,1.1783,8.7436,11,0.2767545455
248,1983,4.1644,1.0768,8.7335,15,0.2776266667
324,611,4.9985,0.1967,9.4128,18,0.2776944444
301,2476,4.7286,0.4098,13.7086,17,0.2781529412
327,956,5.033,2.4008,8.687,18,0.2796111111
358,541,5.3153,2.4404,9.216,19,0.2797526316
177,1526,3.3758,1.6233,5.7016,12,0.2813166667
283,1191,4.5089,0.2373,13.2207,16,0.28180625
254,1159,4.2339,0.7094,9.5131,15,0.28226
366,965,5.3797,0.6453,8.0532,19,0.2831421053
339,1669,5.1236,1.9699,10.6318,18,0.2846444444
258,1524,4.2721,1.5891,8.8377,15,0.2848066667
369,2366,5.4156,0.2942,19.9228,19,0.2850315789
105,2344,2.579,0.1154,4.9574,9,0.2865555556
343,69,5.1667,0.5704,10.2486,18,0.2870388889
344,13,5.1681,3.3701,7.404,18,0.2871166667
128,1624,2.8904,0.5146,6.4911,10,0.28904
107,1142,2.602,0.0352,6.9457,9,0.2891111111
238,574,4.0646,2.1446,7.4996,14,0.2903285714
381,1109,5.5228,0.8679,12.3379,19,0.2906736842
352,1871,5.2533,2.4062,7.847,18,0.29185
406,1042,5.8688,1.753,10.374,20,0.29344
388,200,5.576,0.1737,15.2976,19,0.2934736842
389,1084,5.577,1.4868,12.8257,19,0.2935263158
241,940,4.1096,0.681,7.3601,14,0.2935428571
300,2632,4.7067,1.3042,19.8095,16,0.29416875
164,2372,3.2464,0.7479,8.551,11,0.2951272727
242,2339,4.1341,0.0126,9.0812,14,0.2952928571
245,995,4.1418,0.4826,7.5682,14,0.2958428571
135,2059,2.9797,0.048,6.2761,10,0.29797
278,982,4.4775,0.5174,10.3115,15,0.2985
280,796,4.4812,0.216,7.3588,15,0.2987466667
416,323,5.9773,0.0301,14.5321,20,0.298865
170,639,3.3022,0.1947,6.751,11,0.3002
338,2082,5.1216,2.445,8.0752,17,0.3012705882
288,95,4.5331,0.2065,8.653,15,0.3022066667
422,1744,6.0682,4.1341,7.8789,20,0.30341
449,1887,6.4091,2.2543,11.3276,21,0.3051952381
290,1529,4.5818,0.6611,7.4984,15,0.3054533333
426,1300,6.1259,0.3879,17.8667,20,0.306295
234,2623,3.9847,0.2108,8.2696,13,0.3065153846
349,2540,5.217,0.197,13.7203,17,0.3068823529
263,1939,4.3011,1.1667,7.7431,14,0.3072214286
178,2048,3.3822,1.4764,5.1965,11,0.3074727273
463,560,6.5229,0.2507,14.5723,21,0.3106142857
269,470,4.3718,0.3617,8.4725,14,0.3122714286
325,1097,5.0038,0.9718,11.879,16,0.3127375
270,1487,4.3835,0.1405,12.3886,14,0.3131071429
218,1099,3.7622,0.082,10.1503,12,0.3135166667
272,63,4.4137,0.8091,8.5453,14,0.3152642857
330,1937,5.0463,0.7022,8.079,16,0.31539375
331,473,5.0518,0.8947,13.3762,16,0.3157375
370,1653,5.4194,0.9922,10.5279,17,0.3187882353
337,2492,5.1173,0.2378,22.2488,16,0.31983125
376,968,5.4765,0.3415,11.3426,17,0.3221470588
